locus_tag,gene,producto,inicio,fin,longitud_nt,longitud_aa,strand,protein_id
b0001,thrL,thr operon leader peptide,189,255,66,22,+,AAC73112.1
b0002,thrA,fused aspartate kinase/homoserine dehydrogenase 1,336,2799,2463,821,+,AAC73113.1
b0003,thrB,homoserine kinase,2800,3733,933,311,+,AAC73114.1
b0004,thrC,threonine synthase,3733,5020,1287,429,+,AAC73115.1
b0005,yaaX,DUF2502 domain-containing protein YaaX,5233,5530,297,99,+,AAC73116.1
b0006,yaaA,DNA binding and peroxide stress response protein YaaA,5682,6459,777,259,-,AAC73117.1
b0007,yaaJ,putative transporter YaaJ,6528,7959,1431,477,-,AAC73118.1
b0008,talB,transaldolase B,8237,9191,954,318,+,AAC73119.1
b0009,mog,molybdopterin adenylyltransferase,9305,9893,588,196,+,AAC73120.1
b0010,satP,acetate/succinate:H(+) symporter,9927,10494,567,189,-,AAC73121.1
b0011,yaaW,putative enzyme-specific chaperone YaaW,10642,11356,714,238,-,AAC73122.1
b0012,mbiA,uncharacterized protein MbiA,10829,11315,486,162,+,AYC08161.1
b0013,yaaI,DUF2541 domain-containing protein YaaI,11381,11786,405,135,-,AAC73124.1
b0014,dnaK,chaperone protein DnaK,12162,14079,1917,639,+,AAC73125.1
b0015,dnaJ,chaperone protein DnaJ,14167,15298,1131,377,+,AAC73126.1
b0016,insL1,IS186/IS421 family transposase,15444,16557,1113,371,+,AAC73127.1
b0018,mokC,regulatory protein MokC,16750,16960,210,70,-,AAC73129.1
b4412,hokC,small toxic polypeptide HokC,16750,16903,153,51,-,AAT48122.1
b0019,nhaA,Na(+):H(+) antiporter NhaA,17488,18655,1167,389,+,AAC73130.1
b0020,nhaR,DNA-binding transcriptional activator NhaR,18714,19620,906,302,+,AAC73131.1
b0021,insB1,IS1 family protein InsB,19810,20314,504,168,-,AAC73132.1
b0022,insA1,IS1 family protein InsA,20232,20508,276,92,-,AAC73133.1
b0023,rpsT,30S ribosomal subunit protein S20,20814,21078,264,88,-,AAC73134.1
b0024,yaaY,DUF2575 domain-containing protein YaaY,21180,21399,219,73,+,AAC73135.1
b0025,ribF,bifunctional riboflavin kinase/FMN adenylyltransferase,21406,22348,942,314,+,AAC73136.1
b0026,ileS,isoleucine--tRNA ligase,22390,25207,2817,939,+,AAC73137.1
b0027,lspA,lipoprotein signal peptidase,25206,25701,495,165,+,AAC73138.1
b0028,fkpB,peptidyl-prolyl cis-trans isomerase FkpB,25825,26275,450,150,+,AAC73139.1
b0029,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,26276,27227,951,317,+,AAC73140.1
b0030,rihC,ribonucleoside hydrolase RihC,27292,28207,915,305,+,AAC73141.1
b0031,dapB,4-hydroxy-tetrahydrodipicolinate reductase,28373,29195,822,274,+,AAC73142.1
b0032,carA,carbamoyl-phosphate synthetase small subunit,29650,30799,1149,383,+,AAC73143.1
b0033,carB,carbamoyl-phosphate synthetase large subunit,30816,34038,3222,1074,+,AAC73144.1
b0034,caiF,DNA-binding transcriptional activator CaiF,34299,34695,396,132,+,AAC73145.2
b0035,caiE,putative transferase CaiE,34780,35371,591,197,-,AAC73146.2
b0036,caiD,crotonobetainyl-CoA hydratase,35376,36162,786,262,-,AAC73147.2
b0037,caiC,carnitine--CoA ligase,36270,37824,1554,518,-,AAC73148.2
b0038,caiB,gamma-butyrobetainyl-CoA:carnitine CoA transferase,37897,39115,1218,406,-,AAC73149.1
b0039,caiA,crotonobetainyl-CoA reductase,39243,40386,1143,381,-,AAC73150.1
b0040,caiT,L-carnitine:gamma-butyrobetaine antiporter,40416,41931,1515,505,-,AAC73151.1
b0041,fixA,putative electron transfer flavoprotein FixA,42402,43173,771,257,+,AAC73152.2
b0042,fixB,putative electron transfer flavoprotein FixB,43187,44129,942,314,+,AAC73153.1
b0043,fixC,putative oxidoreductase FixC,44179,45466,1287,429,+,AAC73154.1
b0044,fixX,putative ferredoxin FixX,45462,45750,288,96,+,AAC73155.1
b0045,yaaU,putative transporter YaaU,45806,47138,1332,444,+,AAC73156.1
b0046,kefF,regulator of KefC-mediated potassium transport and quinone oxidoreductase,47245,47776,531,177,+,AAC73157.1
b0047,kefC,K(+) : H(+) antiporter KefC,47768,49631,1863,621,+,AAC73158.1
b0048,folA,dihydrofolate reductase,49822,50302,480,160,+,AAC73159.1
b0049,apaH,diadenosine tetraphosphatase,50379,51222,843,281,-,AAC73160.1
b0050,apaG,DUF525 domain-containing protein ApaG,51228,51606,378,126,-,AAC73161.1
b0051,rsmA,16S rRNA (A(1518)/A(1519))-N(6)-dimethyltransferase,51608,52430,822,274,-,AAC73162.1
b0052,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,52426,53416,990,330,-,AAC73163.1
b0053,surA,chaperone SurA,53415,54702,1287,429,-,AAC73164.1
b0054,lptD,lipopolysaccharide assembly protein LptD,54754,57109,2355,785,-,AAC73165.1
b0055,djlA,co-chaperone protein DjlA,57363,58179,816,272,+,AAC73166.1
b0056,yabP,putative uncharacterized protein YabP,58473,59124,651,217,+,AYC08162.1
b0057,yabQ,protein YabQ,59120,59279,159,53,+,AYC08163.1
b0058,rluA,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,59686,60346,660,220,-,AAC73169.1
b0059,rapA,RNA polymerase-binding ATPase and RNAP recycling factor,60357,63264,2907,969,-,AAC73170.1
b0060,polB,DNA polymerase II,63428,65780,2352,784,-,AAC73171.1
b0061,araD,L-ribulose-5-phosphate 4-epimerase AraD,65854,66550,696,232,-,AAC73172.1
b0062,araA,L-arabinose isomerase,66834,68337,1503,501,-,AAC73173.1
