tipo,inicio,fin,longitud,strand,producto,locus_tag,gc_content,protein_id
CDS,189,255,66,+,thr operon leader peptide,b0001,51.515151515151516,AAC73112.1
CDS,336,2799,2463,+,fused aspartate kinase/homoserine dehydrogenase 1,b0002,53.06536743808363,AAC73113.1
CDS,2800,3733,933,+,homoserine kinase,b0003,56.27009646302251,AAC73114.1
CDS,3733,5020,1287,+,threonine synthase,b0004,52.836052836052836,AAC73115.1
CDS,5233,5530,297,+,DUF2502 domain-containing protein YaaX,b0005,53.87205387205387,AAC73116.1
CDS,5682,6459,777,-,DNA binding and peroxide stress response protein YaaA,b0006,49.67824967824968,AAC73117.1
CDS,6528,7959,1431,-,putative transporter YaaJ,b0007,53.319357092942,AAC73118.1
CDS,8237,9191,954,+,transaldolase B,b0008,51.99161425576519,AAC73119.1
CDS,9305,9893,588,+,molybdopterin adenylyltransferase,b0009,54.421768707483,AAC73120.1
CDS,9927,10494,567,-,acetate/succinate:H(+) symporter,b0010,53.086419753086425,AAC73121.1
CDS,10642,11356,714,-,putative enzyme-specific chaperone YaaW,b0011,50.84033613445378,AAC73122.1
CDS,10829,11315,486,+,uncharacterized protein MbiA,b0012,48.148148148148145,AYC08161.1
CDS,11381,11786,405,-,DUF2541 domain-containing protein YaaI,b0013,48.888888888888886,AAC73124.1
CDS,12162,14079,1917,+,chaperone protein DnaK,b0014,51.12154407929056,AAC73125.1
CDS,14167,15298,1131,+,chaperone protein DnaJ,b0015,55.172413793103445,AAC73126.1
CDS,15444,16557,1113,+,IS186/IS421 family transposase,b0016,51.93171608265948,AAC73127.1
CDS,16750,16960,210,-,regulatory protein MokC,b0018,51.42857142857142,AAC73129.1
CDS,16750,16903,153,-,small toxic polypeptide HokC,b4412,52.94117647058824,AAT48122.1
CDS,17488,18655,1167,+,Na(+):H(+) antiporter NhaA,b0019,51.41388174807198,AAC73130.1
CDS,18714,19620,906,+,DNA-binding transcriptional activator NhaR,b0020,47.46136865342163,AAC73131.1
CDS,19810,20314,504,-,IS1 family protein InsB,b0021,54.563492063492056,AAC73132.1
CDS,20232,20508,276,-,IS1 family protein InsA,b0022,52.89855072463768,AAC73133.1
CDS,20814,21078,264,-,30S ribosomal subunit protein S20,b0023,46.590909090909086,AAC73134.1
CDS,21180,21399,219,+,DUF2575 domain-containing protein YaaY,b0024,48.858447488584474,AAC73135.1
CDS,21406,22348,942,+,bifunctional riboflavin kinase/FMN adenylyltransferase,b0025,53.609341825902334,AAC73136.1
CDS,22390,25207,2817,+,isoleucine--tRNA ligase,b0026,55.768548100816474,AAC73137.1
CDS,25206,25701,495,+,lipoprotein signal peptidase,b0027,53.535353535353536,AAC73138.1
CDS,25825,26275,450,+,peptidyl-prolyl cis-trans isomerase FkpB,b0028,54.44444444444444,AAC73139.1
CDS,26276,27227,951,+,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,b0029,55.099894847528915,AAC73140.1
CDS,27292,28207,915,+,ribonucleoside hydrolase RihC,b0030,56.284153005464475,AAC73141.1
CDS,28373,29195,822,+,4-hydroxy-tetrahydrodipicolinate reductase,b0031,53.406326034063255,AAC73142.1
CDS,29650,30799,1149,+,carbamoyl-phosphate synthetase small subunit,b0032,53.35073977371627,AAC73143.1
CDS,30816,34038,3222,+,carbamoyl-phosphate synthetase large subunit,b0033,56.26939788950962,AAC73144.1
CDS,34299,34695,396,+,DNA-binding transcriptional activator CaiF,b0034,45.95959595959596,AAC73145.2
CDS,34780,35371,591,-,putative transferase CaiE,b0035,54.99153976311336,AAC73146.2
CDS,35376,36162,786,-,crotonobetainyl-CoA hydratase,b0036,54.07124681933843,AAC73147.2
CDS,36270,37824,1554,-,carnitine--CoA ligase,b0037,51.02960102960103,AAC73148.2
CDS,37897,39115,1218,-,gamma-butyrobetainyl-CoA:carnitine CoA transferase,b0038,52.62725779967159,AAC73149.1
CDS,39243,40386,1143,-,crotonobetainyl-CoA reductase,b0039,53.89326334208224,AAC73150.1
CDS,40416,41931,1515,-,L-carnitine:gamma-butyrobetaine antiporter,b0040,51.81518151815182,AAC73151.1
CDS,42402,43173,771,+,putative electron transfer flavoprotein FixA,b0041,52.52918287937744,AAC73152.2
CDS,43187,44129,942,+,putative electron transfer flavoprotein FixB,b0042,56.68789808917197,AAC73153.1
CDS,44179,45466,1287,+,putative oxidoreductase FixC,b0043,54.93395493395493,AAC73154.1
CDS,45462,45750,288,+,putative ferredoxin FixX,b0044,56.94444444444444,AAC73155.1
CDS,45806,47138,1332,+,putative transporter YaaU,b0045,53.30330330330331,AAC73156.1
CDS,47245,47776,531,+,regulator of KefC-mediated potassium transport and quinone oxidoreductase,b0046,54.61393596986818,AAC73157.1
CDS,47768,49631,1863,+,K(+) : H(+) antiporter KefC,b0047,55.50187869028449,AAC73158.1
CDS,49822,50302,480,+,dihydrofolate reductase,b0048,52.708333333333336,AAC73159.1
CDS,50379,51222,843,-,diadenosine tetraphosphatase,b0049,55.753262158956105,AAC73160.1
CDS,51228,51606,378,-,DUF525 domain-containing protein ApaG,b0050,51.85185185185185,AAC73161.1
CDS,51608,52430,822,-,16S rRNA (A(1518)/A(1519))-N(6)-dimethyltransferase,b0051,53.04136253041363,AAC73162.1
CDS,52426,53416,990,-,4-hydroxythreonine-4-phosphate dehydrogenase,b0052,56.36363636363636,AAC73163.1
CDS,53415,54702,1287,-,chaperone SurA,b0053,53.84615384615385,AAC73164.1
CDS,54754,57109,2355,-,lipopolysaccharide assembly protein LptD,b0054,51.38004246284501,AAC73165.1
CDS,57363,58179,816,+,co-chaperone protein DjlA,b0055,52.69607843137255,AAC73166.1
CDS,58473,59124,651,+,putative uncharacterized protein YabP,b0056,45.16129032258064,AYC08162.1
CDS,59120,59279,159,+,protein YabQ,b0057,33.9622641509434,AYC08163.1
CDS,59686,60346,660,-,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,b0058,53.939393939393945,AAC73169.1
CDS,60357,63264,2907,-,RNA polymerase-binding ATPase and RNAP recycling factor,b0059,54.90196078431373,AAC73170.1
CDS,63428,65780,2352,-,DNA polymerase II,b0060,55.35714285714286,AAC73171.1
CDS,65854,66550,696,-,L-ribulose-5-phosphate 4-epimerase AraD,b0061,55.31609195402298,AAC73172.1
CDS,66834,68337,1503,-,L-arabinose isomerase,b0062,55.489021956087825,AAC73173.1
CDS,68347,70048,1701,-,ribulokinase,b0063,58.0246913580247,AAC73174.1
CDS,70386,71265,879,+,DNA-binding transcriptional dual regulator AraC,b0064,52.55972696245734,AAC73175.1
CDS,71350,72115,765,+,DedA family protein YabI,b0065,53.8562091503268,AAC73176.1
CDS,72228,72927,699,-,thiamine ABC transporter ATP binding subunit,b0066,57.08154506437768,AAC73177.1
CDS,72910,74521,1611,-,thiamine ABC transporter membrane subunit,b0067,58.41092489137182,AAC73178.1
CDS,74496,75480,984,-,thiamine ABC transporter periplasmic binding protein,b0068,53.2520325203252,AAC73179.1
CDS,75643,77299,1656,-,DNA-binding transcriptional dual regulator SgrR,b0069,54.891304347826086,AAC73180.1
CDS,77387,77519,132,+,PtsG glucose transporter inhibitor,b4662,46.96969696969697,ACO59989.1
CDS,77620,78799,1179,+,sugar exporter SetA,b0070,48.51569126378287,AAT48123.1
CDS,78847,79453,606,-,3-isopropylmalate dehydratase subunit LeuD,b0071,51.48514851485149,AAC73182.1
CDS,79463,80864,1401,-,3-isopropylmalate dehydratase subunit LeuC,b0072,55.74589578872234,AAC73183.1
CDS,80866,81958,1092,-,3-isopropylmalate dehydrogenase,b0073,55.494505494505496,AAC73184.2
CDS,81957,83529,1572,-,2-isopropylmalate synthase,b0074,52.989821882951645,AAC73185.1
CDS,83621,83708,87,-,leu operon leader peptide,b0075,47.12643678160919,AAC73186.1
CDS,84367,85312,945,+,DNA-binding transcriptional dual regulator LeuO,b0076,45.714285714285715,AAC73187.2
CDS,85466,85511,45,-,protein YabR,b4726,31.11111111111111,AYC08164.1
CDS,85629,87354,1725,+,"acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit",b0077,52.927536231884055,AAC73188.2
CDS,87356,87848,492,+,"acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit",b0078,50.20325203252033,AAC73189.1
CDS,88027,89032,1005,+,DNA-binding transcriptional regulator Cra,b0080,54.92537313432836,AAC73191.1
CDS,89633,90092,459,+,DNA-binding transcriptional repressor MraZ,b0081,52.069716775599126,AAC73192.1
